BDRY_IDENT	SEG_NBR	NAME	TYPE	ICAO	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	RADIUS1	RADIUS2	BEARING1	BEARING2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FP00003	680	TZ MINUS 5 E NORTH	01	FP	G		N69281695	69.471375	E064272696	64.457489	N68111495	68.187486	E068155400	68.265000													200107
FP00003	690	TZ MINUS 5 E NORTH	01	FP	G		N68111495	68.187486	E068155400	68.265000	N68573597	68.959992	E069110094	69.183594													200107
FP00003	700	TZ MINUS 5 E NORTH	01	FP	G		N68573597	68.959992	E069110094	69.183594	N69344899	69.580275	E066473095	66.791931													200107
FP00003	710	TZ MINUS 5 E NORTH	01	FP	G		N69344899	69.580275	E066473095	66.791931	N70454598	70.762772	E067200998	67.336106													200107
FP00003	720	TZ MINUS 5 E NORTH	01	FP	G		N70454598	70.762772	E067200998	67.336106	N71013294	71.025817	E066365896	66.616378													200107
FP00003	730	TZ MINUS 5 E NORTH	01	FP	G		N71013294	71.025817	E066365896	66.616378	N71234145	71.394847	E067295531	67.498697													200107
FP00003	740	TZ MINUS 5 E NORTH	01	FP	G		N71234145	71.394847	E067295531	67.498697	N76111706	76.188072	E067295200	67.497778													200107
FP00003	750	TZ MINUS 5 E NORTH	01	FP	G		N76111706	76.188072	E067295200	67.497778	N75122394	75.206650	E061085199	61.147775													200107
FP00003	760	TZ MINUS 5 E NORTH	01	FP	G		N75122394	75.206650	E061085199	61.147775	N74522495	74.873597	E060352498	60.590272													200107
FP00003	770	TZ MINUS 5 E NORTH	01	FP	G		N74522495	74.873597	E060352498	60.590272	N73590694	73.985261	E058080897	58.135825													200107
FP00003	780	TZ MINUS 5 E NORTH	01	FP	G		N73590694	73.985261	E058080897	58.135825	N72573893	72.960814	E056154397	56.262214													200107
FP00003	790	TZ MINUS 5 E NORTH	01	FP	G		N72573893	72.960814	E056154397	56.262214	N72225395	72.381653	E055290897	55.485825													200107
FP00003	800	TZ MINUS 5 E NORTH	01	FP	G		N72225395	72.381653	E055290897	55.485825	N71504294	71.845261	E055315088	55.530800													200107
FP00003	810	TZ MINUS 5 E NORTH	01	FP	G		N71504294	71.845261	E055315088	55.530800	N71091294	71.153594	E056201695	56.338042													200107
FP00003	820	TZ MINUS 5 E NORTH	01	FP	G		N71091294	71.153594	E056201695	56.338042	N70482094	70.805817	E057275797	57.466103													200107
FP00003	830	TZ MINUS 5 E NORTH	01	FP	G		N70482094	70.805817	E057275797	57.466103	N70304796	70.513322	E057131096	57.219711													200107
FP00003	840	TZ MINUS 5 E NORTH	01	FP	G		N70304796	70.513322	E057131096	57.219711	N70332044	70.555678	E055083171	55.142142													200107
FP00003	850	TZ MINUS 5 E NORTH	01	FP	G		N70332044	70.555678	E055083171	55.142142	N71154197	71.261658	E052165297	52.281381													200107
FP00003	860	TZ MINUS 5 E NORTH	01	FP	G		N71154197	71.261658	E052165297	52.281381	N71505497	71.848603	E051234199	51.394997													200107
FP00003	870	TZ MINUS 5 E NORTH	01	FP	G		N71505497	71.848603	E051234199	51.394997	N72510194	72.850539	E052352097	52.589158													200107
FP00003	880	TZ MINUS 5 E NORTH	01	FP	G		N72510194	72.850539	E052352097	52.589158	N73481693	73.804703	E053410297	53.684158													200107
FP00003	890	TZ MINUS 5 E NORTH	01	FP	G		N73481693	73.804703	E053410297	53.684158	N75084696	75.146378	E055475199	55.797775													200107
FP00003	900	TZ MINUS 5 E NORTH	01	FP	G		N75084696	75.146378	E055475199	55.797775	N75585694	75.982483	E059115197	59.197769													200107
FP00003	910	TZ MINUS 5 E NORTH	01	FP	G		N75585694	75.982483	E059115197	59.197769	N76182995	76.308319	E061374796	61.629989													200107
FP00003	920	TZ MINUS 5 E NORTH	01	FP	G		N76182995	76.308319	E061374796	61.629989	N76245095	76.414153	E064394293	64.661925													200107
FP00003	930	TZ MINUS 5 E NORTH	01	FP	G		N76245095	76.414153	E064394293	64.661925	N77001577	77.004381	E067295144	67.497622													200107
FP00003	940	TZ MINUS 5 E NORTH	01	FP	G		N77001577	77.004381	E067295144	67.497622	N84000846	84.002350	E067294779	67.496608													200107
FP00003	950	TZ MINUS 5 E NORTH	01	FP	G		N84000846	84.002350	E067294779	67.496608	N84000000	84.000000	E082300000	82.500000													200107
