PJA_IDENT	SEG_NBR	NAME	ICAO_REGION	SHAP	DERIVATION	WGS_LAT1	WGS_DLAT1	WGS_LONG1	WGS_DLONG1	WGS_LAT2	WGS_DLAT2	WGS_LONG2	WGS_DLONG2	WGS_LAT0	WGS_DLAT0	WGS_LONG0	WGS_DLONG0	TYPE	RADIUS1	RADIUS2	BEARING1	BEARING2	DISTANCE1	DISTANCE2	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	CYCLE_DATE
FR00239	00010	239-VALENCIENNES DENAIN	LF	A										N50192900	50.324722	E003275600	3.465556	4	0.10										199810
FR00240	00010	240-THOUARS	LF	A										N46574300	46.961944	W000091000	-0.152778	4	0.10										199810
FR00242	00010	242-DONCOURT LES CONFLANS	LF	A										N49091000	49.152778	E005555800	5.932778	4	0.10										199810
FR00245	00010	245-LAON CHAMBRY	LF	A										N49353000	49.591667	E003375000	3.630556	4	0.10										200411
FR00246	00010	246-PIACE	LF	A										N48160000	48.266667	E000064000	0.111111	4	0.10										199810
FR00248	00010	248-MONTBELIARD COURCELLES	LF	A										N47291200	47.486667	E006472900	6.791389	4	0.10										199810
FR00249	00010	249-CREIL	LF	A										N49151300	49.253611	E002311200	2.520000	4	0.10										199811
FR00250	00010	250-BRAY	LF	A										N49142300	49.239722	E002423100	2.708611	4	0.10										199811
FR00251	00010	251-CHATEAUDUN	LF	A										N48032800	48.057778	E001224600	1.379444	4	0.10										199810
FR00252	00010	252-EVREUX	LF	A										N49014300	49.028611	E001131200	1.220000	4	0.10										199810
FR00253	00010	253-CHAMBLEY BUSSIERES	LF	A										N49013200	49.025556	E005523600	5.876667	4	0.10										199810
FR00257	00010	257-LA ROCHE SUR YON LES AJONCS	LF	A										N46420900	46.702500	W001225400	-1.381667	4	0.10										199810
FR00258	00010	258-SAUMUR SAINT FLORENT	LF	A										N47152400	47.256667	W000064900	-0.113611	4	0.10										199810
FR00259	00010	259-CHARTRES CHAMPHOL	LF	A										N48273200	48.458889	E001312600	1.523889	4	0.10										199810
FR00264	00010	264-LENS BENIFONTAINE	LF	A										N50280200	50.467222	E002491900	2.821944	4	0.10										199810
FR00268	00010	268-ST FLORENTIN CHEU	LF	A										N47585600	47.982222	E003464200	3.778333	4	0.10										199810
FR00269	00010	269-VITRY LE FRANCOIS VAUCLERC	LF	A										N48421200	48.703333	E004410400	4.684444	4	0.10										199810
FR00271	00010	271-MAUBEUGE ELESMES	LF	A										N50183300	50.309167	E004015300	4.031389	4	0.10										199810
FR00272	00010	272-LE BLANC	LF	A										N46371500	46.620833	E001051500	1.087500	4	0.10										199810
FR00273	00010	273-LUZILLE	LF	A										N47160000	47.266667	E001010000	1.016667	4	0.10										199810
FR00274	00010	274-VANNES MEUCON	LF	A										N47430900	47.719167	W002432400	-2.723333	4	0.10										199810
FR00275	00010	275-ORLEANS LA SOURCE	LF	A										N47490000	47.816667	E001580000	1.966667	4	0.10										199810
FR00276	00010	276-LAVAL ENTRAMMES	LF	A										N48015600	48.032222	W000443400	-0.742778	4	0.10										199810
FR00278	00010	278-LIEVIN	LF	A										N50250000	50.416667	E002450000	2.750000	4	0.10										199810
FR00301	00010	301-LASCLAVERIES	LF	C										N43254000	43.427778	W000170000	-0.283333	4	1.40										199810
FR00302	00010	302-HANDIA	LF	C										N43241500	43.404167	W001232400	-1.390000	4	1.00										199810
FR00304	00010	304-BOULOC	LF	C										N44182800	44.307778	E001045400	1.081667	4	1.00										200311
FR00307	00010	307-WRIGHT	LF	C										N43220300	43.367500	W000260000	-0.433333	4	1.70										199810
FR00308	00010	308-OLORON	LF	H		N43133000	43.225000	W000330000	-0.550000	N43080000	43.133333	E000000000						4											199810
FR00308	00020	308-OLORON	LF	R	R	N43080000	43.133333	E000000000		N42543000	42.908333	W000183000	-0.308333	N43125273	43.214647	W000250573	-0.418258	4	19.00										199810
FR00308	00030	308-OLORON	LF	H		N42543000	42.908333	W000183000	-0.308333	N43000000	43.000000	W000203000	-0.341667					4											199810
FR00308	00040	308-OLORON	LF	R	R	N43000000	43.000000	W000203000	-0.341667	N43030000	43.050000	W000363000	-0.608333	N43131173	43.219925	W000242467	-0.406853	4	13.50										199810
FR00308	00050	308-OLORON	LF	H		N43030000	43.050000	W000363000	-0.608333	N42590000	42.983333	W000423000	-0.708333					4											199810
FR00308	00060	308-OLORON	LF	R	R	N42590000	42.983333	W000423000	-0.708333	N43183000	43.308333	W000500000	-0.833333	N43130465	43.217958	W000250465	-0.417958	4	19.00										199810
FR00308	00070	308-OLORON	LF	H		N43183000	43.308333	W000500000	-0.833333	N43133000	43.225000	W000330000	-0.550000					4											199810
FR00309	00010	309-TOUR DU CRIEU	LF	C										N43064300	43.111944	E001400000	1.666667	4	0.70										199810
FR00311	00010	311-ANGOULEME BRIE CHAMPNIERS	LF	C										N45434600	45.729444	E000130900	0.219167	4	1.20										199810
FR00312	00010	312-SOUGE	LF	C										N44524500	44.879167	W000500000	-0.833333	4	1.00										199810
FR00313	00010	313-GUERET ST LAURENT	LF	C										N46103200	46.175556	E001571400	1.953889	4	1.30										199810
FR00315	00010	315-MONTAUBAN	LF	C										N44013900	44.027500	E001224200	1.378333	4	1.00										199810
FR00316	00010	316-GER	LF	C										N43122000	43.205556	W000035400	-0.065000	4	1.50										199810
FR00317	00010	317-GAILLAC-L ISLE/TARN	LF	C										N43530200	43.883889	E001523200	1.875556	4	0.60										199810
FR00318	00010	318-FONSORBES	LF	C										N43322300	43.539722	E001150800	1.252222	4	1.50										199810
FR00319	00010	319-MONT LOUIS	LF	C										N42323700	42.543611	E002071200	2.120000	4	0.70										199810
FR00321	00010	321-MIMIZAN	LF	A										N44084900	44.146944	W001094800	-1.163333	4	0.10										200305
FR00322	00010	322-PROJAN	LF	C										N43354000	43.594444	W000143500	-0.243056	4	0.10										200411
FR00323	00010	323-LABATMALE	LF	C										N43114300	43.195278	W000100300	-0.167500	4	1.40										199810
FR00328	00010	328-PALOMBIERES	LF	C										N43142300	43.239722	W001102700	-1.174167	4	1.60										199810
FR00329	00010	329-LA CITADELLE DE BAYONNE	LF	C										N43301000	43.502778	W001283000	-1.475000	4	0.50										199810
FR00330	00010	330-TARBES LALOUBERE	LF	A										N43125800	43.216111	E000044300	0.078611	4	0.10										200108
FR00350	00010	350-CAZAUX	LF	C										N44341000	44.569444	W001071000	-1.119444	4	1.30										199810
