ORTCA_IDENT	ALT	NW_LAT	NW_DLAT	NW_LONG	NW_DLONG	NE_LAT	NE_DLAT	NE_LONG	NE_DLONG	SW_LAT	SW_DLAT	SW_LONG	SW_DLONG	SE_LAT	SE_DLAT	SE_LONG	SE_DLONG	CYCLE_DATE	ORTCA_ID
056606	08700	N24000000	24.000000	E041000000	41.000000	N24000000	24.000000	E042000000	42.000000	N23000000	23.000000	E041000000	41.000000	N23000000	23.000000	E042000000	42.000000	199907	0566006
056607	09600	N23000000	23.000000	E036000000	36.000000	N23000000	23.000000	E037000000	37.000000	N22000000	22.000000	E036000000	36.000000	N22000000	22.000000	E037000000	37.000000	199907	0566007
056609	04200	N23000000	23.000000	E038000000	38.000000	N23000000	23.000000	E039000000	39.000000	N22000000	22.000000	E038000000	38.000000	N22000000	22.000000	E039000000	39.000000	199907	0566009
056610	08900	N23000000	23.000000	E039000000	39.000000	N23000000	23.000000	E040000000	40.000000	N22000000	22.000000	E039000000	39.000000	N22000000	22.000000	E040000000	40.000000	199907	0566010
056611	09400	N23000000	23.000000	E040000000	40.000000	N23000000	23.000000	E041000000	41.000000	N22000000	22.000000	E040000000	40.000000	N22000000	22.000000	E041000000	41.000000	199907	0566011
056612	08000	N23000000	23.000000	E041000000	41.000000	N23000000	23.000000	E042000000	42.000000	N22000000	22.000000	E041000000	41.000000	N22000000	22.000000	E042000000	42.000000	199907	0566012
056613	10600	N22000000	22.000000	E036000000	36.000000	N22000000	22.000000	E037000000	37.000000	N21000000	21.000000	E036000000	36.000000	N21000000	21.000000	E037000000	37.000000	199907	0566013
056614	04100	N22000000	22.000000	E037000000	37.000000	N22000000	22.000000	E038000000	38.000000	N21000000	21.000000	E037000000	37.000000	N21000000	21.000000	E038000000	38.000000	199907	0566014
056615	03800	N22000000	22.000000	E038000000	38.000000	N22000000	22.000000	E039000000	39.000000	N21000000	21.000000	E038000000	38.000000	N21000000	21.000000	E039000000	39.000000	199907	0566015
056616	07000	N22000000	22.000000	E039000000	39.000000	N22000000	22.000000	E040000000	40.000000	N21000000	21.000000	E039000000	39.000000	N21000000	21.000000	E040000000	40.000000	199907	0566016
056617	11900	N22000000	22.000000	E040000000	40.000000	N22000000	22.000000	E041000000	41.000000	N21000000	21.000000	E040000000	40.000000	N21000000	21.000000	E041000000	41.000000	199907	0566017
056618	09000	N22000000	22.000000	E041000000	41.000000	N22000000	22.000000	E042000000	42.000000	N21000000	21.000000	E041000000	41.000000	N21000000	21.000000	E042000000	42.000000	199907	0566018
056619	10700	N21000000	21.000000	E036000000	36.000000	N21000000	21.000000	E037000000	37.000000	N20000000	20.000000	E036000000	36.000000	N20000000	20.000000	E037000000	37.000000	199907	0566019
056620	05500	N21000000	21.000000	E037000000	37.000000	N21000000	21.000000	E038000000	38.000000	N20000000	20.000000	E037000000	37.000000	N20000000	20.000000	E038000000	38.000000	199907	0566020
056622	06300	N21000000	21.000000	E039000000	39.000000	N21000000	21.000000	E040000000	40.000000	N20000000	20.000000	E039000000	39.000000	N20000000	20.000000	E040000000	40.000000	199907	0566022
