ARF_IDENT	DIRECTION	PT_SEQ_NBR	ICAO	USAGE	PT_NAV_FLAG	NAV_IDENT	NAV_TYPE	NAV_CTRY	NAV_KEY_CD	BEARING	DISTANCE	WGS_LAT	WGS_DLAT	WGS_LONG	WGS_DLONG	CYCLE_DATE
AR632		45	KZMP	AP		TVC	2	US	1	097	059	N44345400	44.581667	W084101800	-84.171667	199902
AR632		65	KZMP	EX		TVC	2	US	1	113	064	N44163600	44.276667	W084094800	-84.163333	199903
AR632		75	KZMP	EX		TVC	2	US	1	032	076	N45454200	45.761667	W084384200	-84.645000	199903
AR633A		10	KZTL	ET		HCH	2	US	1	073	005	N35483000	35.808334	W084523000	-84.875000	199511
AR633A		15	KZTL	ET		HCH	2	US	1	073	076	N36113000	36.191667	W083293000	-83.491667	200004
AR633A		20	KZTL	IP		HCH	2	US	1	073	005	N35483000	35.808334	W084523000	-84.875000	199511
AR633A		25	KZTL	AN		HCH	2	US	1	073	076	N36113000	36.191667	W083293000	-83.491667	199709
AR633A		30	KZTL	AP		HCH	2	US	1	073	076	N36113000	36.191667	W083293000	-83.491667	199803
AR633A		35	KZTL	AP		HCH	2	US	1	058	079	N36303000	36.508333	W083370000	-83.616667	199803
AR633A		40	KZTL	AP		HCH	2	US	1	036	033	N36140000	36.233333	W084363000	-84.608333	199803
AR633A		45	KZTL	AP		HCH	2	US	1	073	026	N35553000	35.925000	W084280000	-84.466667	199803
AR633A		50	KZTL	EX		HCH	2	US	1	073	026	N35553000	35.924999	W084280000	-84.466667	199511
AR633A		55	KZTL	EX		HCH	2	US	1	058	079	N36303000	36.508333	W083370000	-83.616667	199709
AR633B		10	KZTL	ET		HMV	2	US	1	295	042	N36412000	36.688889	W082560000	-82.933334	199511
AR633B		15	KZTL	ET		HMV	2	US	1	269	120	N36140000	36.233333	W084363000	-84.608333	200004
AR633B		20	KZTL	IP		HMV	2	US	1	278	072	N36303000	36.508333	W083370000	-83.616667	199709
AR633B		25	KZTL	AN		HMV	2	US	1	269	120	N36140000	36.233333	W084363000	-84.608333	199709
AR633B		30	KZTL	AP		HMV	2	US	1	269	120	N36140000	36.233333	W084363000	-84.608333	199803
AR633B		35	KZTL	AP		HMV	2	US	1	260	117	N35553000	35.925000	W084280000	-84.466667	199803
AR633B		40	KZTL	AP		HMV	2	US	1	262	068	N36113000	36.191667	W083293000	-83.491667	199803
AR633B		45	KZTL	AP		HMV	2	US	1	278	072	N36303000	36.508333	W083370000	-83.616667	199803
AR633B		50	KZTL	EX		HMV	2	US	1	260	117	N35553000	35.924999	W084280000	-84.466667	199511
AR633B		55	KZTL	EX		HMV	2	US	1	262	068	N36113000	36.191667	W083293000	-83.491667	199709
AR634		10	KZOA	ET		SNS	2	US	1	267	052	N36510000	36.850000	W122400000	-122.666667	200011
AR634		15	KZOA	ET		BSR	2	US	1	228	025	N35590000	35.983334	W122060000	-122.100000	199511
AR634		20	KZOA	ET		PXN	2	US	1	187	083	N35270000	35.450001	W121300000	-121.500000	199511
AR634		25	KZOA	IP		SNS	2	US	1	259	076	N36460000	36.766666	W123120000	-123.200000	199511
AR634		30	KZOA	AN		SNS	2	US	1	246	115	N36240000	36.400000	W123590000	-123.983333	199709
AR634		35	KZOA	AP		SNS	2	US	1	246	115	N36240000	36.400000	W123590000	-123.983333	199803
AR634		40	KZOA	AP		PXN	2	US	1	241	150	N36070000	36.116667	W123480000	-123.800000	199907
AR634		45	KZOA	AP		SNS	2	US	1	245	069	N36290000	36.483333	W123000000	-123.000000	199803
AR634		50	KZOA	AP		SNS	2	US	1	259	076	N36460000	36.766667	W123120000	-123.200000	199907
AR634		55	KZOA	EX		SNS	2	US	1	267	052	N36510000	36.850000	W122400000	-122.666667	199907
AR634		60	KZOA	EX		BSR	2	US	1	228	025	N35590000	35.983334	W122060000	-122.100000	199511
AR634		65	KZOA	EX		PXN	2	US	1	187	083	N35270000	35.450001	W121300000	-121.500000	199511
AR635		10	KZLC	ET		MLF	2	US	1	260	127	N38310000	38.516667	W115430000	-115.716667	199709
AR635		15	KZLC	ET		MLF	2	US	1	290	042	N38460000	38.766666	W113450000	-113.750000	199511
AR635		20	KZLC	IP		MLF	2	US	1	260	127	N38310000	38.516667	W115430000	-115.716667	199709
AR635		25	KZLC	IP		MLF	2	US	1	290	042	N38460000	38.766666	W113450000	-113.750000	199511
AR635		30	KZLC	AN		MLF	2	US	1	259	058	N38270000	38.450000	W114140000	-114.233333	200011
AR635		35	KZLC	AN		MLF	2	US	1	270	109	N38500000	38.833333	W115160000	-115.266667	199709
AR635		40	KZLC	AP		MLF	2	US	1	259	058	N38270000	38.450000	W114140000	-114.233333	199803
AR635		45	KZLC	AP		MLF	2	US	1	280	061	N38470000	38.783333	W114110000	-114.183333	199803
AR635		50	KZLC	AP		MLF	2	US	1	270	109	N38500000	38.833333	W115160000	-115.266667	199803
AR635		55	KZLC	AP		MLF	2	US	1	260	107	N38300000	38.500000	W115180000	-115.300000	199803
AR635		60	KZLC	EX		MLF	2	US	1	260	023	N38240000	38.400000	W113310000	-113.516667	199709
AR635		65	KZLC	EX		ILC	2	US	1	282	076	N38510000	38.850000	W115500000	-115.833333	199709
AR636		10	KZDC	ET		NTU	3	US	1	095	078	N36560000	36.933333	W074250000	-74.416667	199708
AR636		15	KZDC	IP		NTU	3	US	1	095	078	N36560000	36.933333	W074250000	-74.416667	199708
AR636		20	KZDC	AN		NTU	3	US	1	100	146	N36470000	36.783333	W073000000	-73.000000	199708
AR636		25	KZDC	AP		NTU	3	US	1	100	146	N36470000	36.783333	W073000000	-73.000000	199803
AR636		30	KZDC	AP		NTU	3	US	1	092	147	N37073000	37.125000	W073000000	-73.000000	199803
AR636		35	KZDC	AP		NTU	3	US	1	090	107	N37061800	37.105000	W073500000	-73.833333	199803
AR636		40	KZDC	AP		NTU	3	US	1	101	106	N36470000	36.783333	W073500000	-73.833333	199803
AR636		45	KZDC	EX		NTU	3	US	1	095	078	N36560000	36.933333	W074250000	-74.416667	199708
AR637		10	KZKC	ET		FAM	2	US	1	263	033	N37361800	37.605000	W090560000	-90.933334	199709
AR637		15	KZKC	ET		FAM	2	US	1	253	045	N37264800	37.446667	W091085400	-91.148333	199709
AR637		20	KZKC	IP		FAM	2	US	1	263	033	N37361800	37.605000	W090560000	-90.933334	199709
AR637		25	KZKC	IP		FAM	2	US	1	253	045	N37264800	37.446667	W091085400	-91.148333	199709
AR637		30	KZKC	AN		FAM	2	US	1	263	108	N37262400	37.440000	W092295400	-92.498333	199709
AR637		35	KZKC	AP		FAM	2	US	1	263	108	N37262400	37.439999	W092295400	-92.498333	199709
AR637		40	KZKC	AP		FAM	2	US	1	253	110	N37070000	37.116667	W092263000	-92.441667	199907
AR637		45	KZKC	AP		FAM	2	US	1	244	062	N37133000	37.225000	W091242400	-91.406667	199709
AR637		50	KZKC	AP		FAM	2	US	1	263	058	N37331200	37.553333	W091274500	-91.462500	199907
AR637		55	KZKC	EX		FAM	2	US	1	244	062	N37133000	37.225000	W091242400	-91.406667	199709
AR637		60	KZKC	EX		FAM	2	US	1	263	058	N37331200	37.553333	W091274500	-91.462500	199709
AR638		10	KZMA	ET		HST	3	US	1	343	012	N25400000	25.666666	W080280000	-80.466667	200004
AR638		15	KZMA	ET		HST	3	US	1	252	026	N25200000	25.333333	W080500000	-80.833333	200004
AR638		20	KZMA	ET		HST	3	US	1	262	043	N25210000	25.350000	W081090000	-81.150000	200004
AR638		25	KZMA	IP		HST	3	US	1	262	043	N25210000	25.350000	W081090000	-81.150000	199709
AR638		30	KZMA	AN		HST	3	US	1	114	028	N25200000	25.333333	W079550000	-79.916667	200011
AR638		35	KZMA	AP		HST	3	US	1	114	028	N25200000	25.333333	W079550000	-79.916667	200011
AR638		40	KZMA	AP		HST	3	US	1	072	029	N25410000	25.683333	W079530000	-79.883333	200011
AR638		45	KZMA	AP		HST	3	US	1	301	023	N25400000	25.666666	W080450000	-80.750000	199706
AR638		50	KZMA	AP		HST	3	US	1	252	026	N25200000	25.333333	W080500000	-80.833333	199709
AR638		55	KZMA	EX		HST	3	US	1	343	012	N25400000	25.666666	W080280000	-80.466667	200004
AR638		60	KZMA	EX		HST	3	US	1	297	037	N25440000	25.733334	W081000000	-81.000000	200004
AR638		65	KZMA	EX		HST	3	US	1	343	012	N25400000	25.666666	W080280000	-80.466667	200004
AR638		70	KZMA	EX		HST	3	US	1	252	026	N25200000	25.333333	W080500000	-80.833333	200004
AR638		75	KZMA	EX		HST	3	US	1	162	012	N25180000	25.300000	W080180000	-80.300000	200004
AR639		10	KZAB	ET		DUG	2	US	1	258	061	N31282500	31.473612	W110475500	-110.798610	199511
AR639		15	KZAB	ET		DUG	2	US	1	058	058	N31483000	31.808333	W108323000	-108.541667	199709
AR639		20	KZAB	IP		DUG	2	US	1	258	042	N31282500	31.473612	W110245000	-110.413890	199511
AR639		25	KZAB	AN		DUG	2	US	1	078	054	N31282500	31.473612	W108324000	-108.544444	199709
AR639		30	KZAB	AN		DUG	2	US	1	078	020	N31283000	31.475000	W109121500	-109.204167	199709
AR639		35	KZAB	AP		DUG	2	US	1	078	054	N31282500	31.473611	W108324000	-108.544444	199803
AR639		40	KZAB	AP		DUG	2	US	1	058	058	N31483000	31.808333	W108323000	-108.541667	199803
AR639		45	KZAB	AP		DUG	2	US	1	283	047	N31483000	31.808333	W110250000	-110.416667	199803
AR639		50	KZAB	AP		DUG	2	US	1	258	042	N31282500	31.473611	W110245000	-110.413889	199803
AR639		55	KZAB	EX		DUG	2	US	1	283	047	N31483000	31.808332	W110250000	-110.416667	200011
AR639		60	KZAB	EX		DUG	2	US	1	058	058	N31483000	31.808332	W108323000	-108.541667	199709
AR639A		10	KZAB	ET		DUG	2	US	1	258	005	N31280000	31.466667	W109433000	-109.725000	199511
AR639A		15	KZAB	ET		DUG	2	US	1	058	058	N31483000	31.808333	W108323000	-108.541667	199709
AR639A		20	KZAB	IP		DUG	2	US	1	258	005	N31280000	31.466667	W109433000	-109.725000	199511
AR639A		25	KZAB	AN		DUG	2	US	1	078	054	N31282500	31.473611	W108324000	-108.544444	199709
AR639A		30	KZAB	AP		DUG	2	US	1	078	054	N31282500	31.473612	W108324000	-108.544444	199709
AR639A		35	KZAB	AP		DUG	2	US	1	058	058	N31483000	31.808333	W108323000	-108.541667	199709
AR639A		40	KZAB	AP		DUG	2	US	1	330	020	N31480000	31.800000	W109430000	-109.716667	199709
AR639A		45	KZAB	AP		DUG	2	US	1	258	005	N31280000	31.466667	W109433000	-109.725000	199511
AR639A		50	KZAB	EX		DUG	2	US	1	330	020	N31480000	31.800000	W109430000	-109.716667	199709
AR639A		55	KZAB	EX		DUG	2	US	1	058	058	N31483000	31.808333	W108323000	-108.541667	199709
AR640A		10	KZAU	ET		BAE	2	US	1	356	070	N44170000	44.283333	W088210000	-88.350000	200011
AR640A		15	KZAU	ET		BAE	2	US	1	017	020	N43260000	43.433333	W088080000	-88.133333	200011
AR640A		20	KZAU	ET		BAE	2	US	1	062	080	N43410000	43.683333	W086380000	-86.633333	200011
AR640A		25	KZAU	ET		BAE	2	US	1	325	057	N43550000	43.916668	W089000000	-89.000000	199511
AR640A		30	KZAU	IP		BAE	2	US	1	055	069	N43440000	43.733333	W086570000	-86.950000	200011
AR640A		35	KZAU	AN		BAE	2	US	1	345	052	N43580000	43.966667	W088330000	-88.550000	199709
AR640A		40	KZAU	AP		BAE	2	US	1	345	052	N43580000	43.966667	W088330000	-88.550000	199709
AR640A		45	KZAU	AP		BAE	2	US	1	331	035	N43380000	43.633333	W088390000	-88.650000	199709
AR640A		50	KZAU	AP		BAE	2	US	1	064	048	N43260000	43.433334	W087170000	-87.283333	199511
AR640A		55	KZAU	AP		BAE	2	US	1	048	062	N43460000	43.766666	W087110000	-87.183334	199511
AR640A		60	KZAU	EX		BAE	2	US	1	356	070	N44170000	44.283333	W088210000	-88.350000	200011
AR640A		65	KZAU	EX		BAE	2	US	1	017	020	N43260000	43.433333	W088080000	-88.133333	200011
AR640A		70	KZAU	EX		BAE	2	US	1	076	070	N43210000	43.350000	W086430000	-86.716667	200011
AR640A		75	KZAU	EX		BAE	2	US	1	329	064	N44030000	44.049999	W089000000	-89.000000	199511
AR640B		10	KZAU	ET		BAE	2	US	1	356	070	N44170000	44.283333	W088210000	-88.350000	200011
AR640B		15	KZAU	ET		BAE	2	US	1	017	020	N43260000	43.433333	W088080000	-88.133333	200013
AR640B		20	KZAU	ET		BAE	2	US	1	070	073	N43290000	43.483334	W086410000	-86.683334	199511
AR640B		25	KZAU	ET		BAE	2	US	1	316	046	N43410000	43.683334	W089000000	-89.000000	199511
AR640B		30	KZAU	IP		BAE	2	US	1	331	035	N43380000	43.633333	W088390000	-88.650000	199709
AR640B		35	KZAU	AN		BAE	2	US	1	070	057	N43240000	43.400000	W087030000	-87.050000	199709
AR640B		40	KZAU	AP		BAE	2	US	1	070	057	N43240000	43.400000	W087030000	-87.050000	199709
AR640B		45	KZAU	AP		BAE	2	US	1	055	069	N43440000	43.733333	W086570000	-86.950000	200011
AR640B		50	KZAU	AP		BAE	2	US	1	356	049	N43560000	43.933334	W088190000	-88.316666	199511
AR640B		55	KZAU	AP		BAE	2	US	1	347	030	N43360000	43.600000	W088250000	-88.416667	200011
AR640B		60	KZAU	EX		BAE	2	US	1	356	070	N44170000	44.283333	W088210000	-88.350000	200011
AR640B		65	KZAU	EX		BAE	2	US	1	017	020	N43260000	43.433333	W088080000	-88.133333	200011
AR640B		70	KZAU	EX		BAE	2	US	1	076	070	N43210000	43.350000	W086430000	-86.716667	200011
