JASU_CODE	TYPE	DESCRIPTION
RST1	RST-180	75kva AC 115/200v 400hz AIR 145-155lb/min@ 47-51 psi
ST22	ST-22/28	22kw 28v DC
ST38	ST-38	38kw 24/28/33v DC 800/1000/1200 amp
ST45	ST-45	45kw 28v DC 60kva 400hz 115/200v 3 phase AC
ST56	ST-56	56kw 28v DC 700-1500 amp
ST60	ST-60	45kw 28v DC 60 kva 400 +- 1hz 115/200v 1 or 3 phase AC
STR3	STR-30	STRUVER 30 kva 115v AC 400 hz 3 phase
STR4	STR-45	STRUVER 45kva 115v AC 400 hz 3 phase
TASU	TASU	Turbine Air Starting Unit
TC50	TC-50	Turbo Compressor
U100	U-1000	DC 600 1200 amp 28v
U103	U-1003	DC 600 1200 amp 28v 5v
WELL	WELLS Air Start	180 lbs/min@ 75 psi or 120 lbs/min@ 45psi, Simultaneous Mulit start capability

