OPR_CODE	TYPE	DESCRIPTION	
DR	DRB	DEFENSE RESEARCH BOARD  CANADA	
DS	DSAC	DIRECTORATE OF CIVIL AVIATION SERVICES	
DT	DOTAC	AUSTRALIAN DEPT OF TRANSPORATION AND COMM	
DV	DCAV	DEPARTMENT OF CIVIL AVIATION VENEZUELA	
EA	EAF	EGYPTIAN AIR FORCE	
EG	EGAT	ELECTRICITY GENERATING AUTHORITY OF THAILAND	
ET	ETAL	ETHIOPIAN AIRLINES	
FA	FAA	FEDERAL AVIATION ADMINISTRATION	
FB	FA	FRENCH ARMY	
FC	FAC	AUSTRALIAN FEDERAL AIRPORTS CORPORATION	
FE	FAE	ECUADORIAN AIR FORCE	
FF	FAF	FRENCH AIR FORCE	
FG	FAG	ARGENTINE AIR FORCE	
FI	FINAF	FINNISH AIR FORCE	
FM	FAM	MEXICAN AIR FORCE	
FN	FNY	FRENCH NAVY	
FP	FAP	PERUVIAN/PARAGUAYAN AIR FORCE	
FU	FAU	URUGUAYAN AIR FORCE	
FV	FAV	VENEZUELAN AIR FORCE	
GC	CAAV	CIVIL AVIATION AUTHORITY OF VIETNAM	
GF	GAF	GERMAN AIR FORCE	
GH	GHAF	GHANAIAN AIR FORCE	
GM	GAM	GERMAN ARMY	
GN	GNY	GERMAN NAVY	
HC	HAC	HELLENIC ARMY COMMAND	
HF	HAFC	HELLENIC AIR FORCE COMMAND	
HK	HKSARCAD	HONG KONG SPECIAL ADMIN REGION OF CIVIL AVIATION DEPT.	
HS	HSG	HARYANA STATE GOVERNMENT	
IA	IA	INDONESIAN ARMY	
IC	IRSGF	ISLAMIC REPUBLIC IRANIAN DEFENSE INDUSTRY ORGANIZATION	
IE	IEAF	IMPERIAL ETHIOPIAN AIR FORCE	
IF	IAF	INDONESIAN AIR FORCE	
IG	IN	INDONESIAN NAVY	
IM	INAF	INDIAN AIR FORCE	
IN	INNY	INDIAN NAVY	
IO	INDGCA	INDIA DIRECTOR OF CIVIL AVIATION	
IQ	IQAF	IRAQI AIR FORCE	
IR	INFRAERO	BRAZILIAN AIRPORT GROUND SERVICES COMPANY	
IS	ISAF	ISRAELI AIR FORCE	
IT	ITAF	ITALIAN AIR FORCE	
IU	IRIA	ISLAMIC REPUBLIC IRANIAN DISCIPLINARY FORCE	
IV	IRIAF	ISLAMIC REPUBLIC IRANIAN AIR FORCE	
IW	IRIGF	ISLAMIC REPUBLIC IRANIAN GROUND FORCES	
IX	IRIN	ISLAMIC REPUBLIC IRANIAN NAVY	
IY	IRIAA	ISLAMIC REPUBLIC IRANIAN ARMY AVIATION	
IZ	IRAF	ISLAMIC REPUBLIC SEPAH AIR FORCE	
JA	JASDF	JAPAN AIR SELF DEFENSE FORCE	
JC	JCAB	JAPAN CIVIL AVIATION BUREAU	
